,U,alpha,Delta_BL,U_BL,Side,Test_section,Delta_displacement,Delta_momentum,U_max
0,20.0,0.0,9.494213,19.783411758,NA,closed,1.99822976761,1.23704491651,19.9832442
1,30.0,0.0,9.349504,29.580770835,NA,closed,1.98650863101,1.21771370562,29.8795665
2,35.0,0.0,9.783628,34.6705185024,NA,closed,1.90934802895,1.18990332178,35.02072576
3,40.0,0.0,9.204797,39.6223330338,NA,closed,1.79577985166,1.12749888827,40.02255862
4,20.0,0.0,9.756475,18.453713058,NA,open,1.99954577452,1.26529191623,18.6401142
5,30.0,0.0,10.120756,27.5568432876,NA,open,2.20058462239,1.33348849833,27.83519524
6,35.0,0.0,9.270767,32.1017523156,NA,open,1.9318617302,1.21129550784,32.42601244
7,40.0,0.0,9.877902,37.1323515222,NA,open,1.94628869175,1.22953810498,37.50742578
8,20.0,12.0,7.011691,18.5692474044,PS,open,0.968905663544,0.706356730304,18.75681556
9,20.0,12.0,14.2096139698,18.3835781712,SS,open,4.74850799886,2.16464651923,18.56927088
10,30.0,12.0,6.89001,27.8738607708,PS,open,0.933417852856,0.685724683364,28.15541492
11,30.0,12.0,15.3274398995,27.9000880686,SS,open,5.44741289409,2.31984725188,28.18190714
12,35.0,12.0,6.281605,32.4612421452,PS,open,0.742461389161,0.568945016932,32.78913348
13,35.0,12.0,16.5237172864,32.6272809852,SS,open,5.82395692761,2.50273313916,32.95684948
14,40.0,12.0,5.916562,37.227785364,PS,open,0.621721135031,0.48796253703,37.6038236
15,40.0,12.0,17.1012827136,37.481258529,SS,open,6.15128640686,2.65477652447,37.8598571
16,20.0,6.0,8.26257,18.3396361698,PS,open,1.38975341634,0.950886799271,18.52488502
17,20.0,6.0,12.301795,18.4708182582,SS,open,3.43744221498,1.8230690235,18.65739218
18,30.0,6.0,7.89795,27.4742468946,PS,open,1.33321427875,0.915860714024,27.75176454
19,30.0,6.0,12.666148,27.7033973238,SS,open,3.73147631217,1.83885973773,27.98322962
20,35.0,6.0,7.53333,32.0291740098,PS,open,1.20650053593,0.846361334563,32.35270102
21,35.0,6.0,12.180344,32.1381122634,SS,open,3.50748626318,1.75739002534,32.46273966
22,40.0,6.0,7.53333,36.6393446496,PS,open,1.14102212363,0.811554957165,37.00943904
23,40.0,6.0,12.666148,37.0619256348,SS,open,3.55824426876,1.80790988695,37.43628852
